Strike_1,Strike_2,Call_1,Call_2,Put_1,Put_2,Box_Value,Box_Cost,Difference
100000,200000,3567.7,3467.8,0.1,0.1,97502.98111856259,99.89999999999964,97403.0811185626
200000,300000,3467.8,3367.9,0.1,0.1,97502.98111856259,99.90000000000009,97403.0811185626
300000,400000,3367.9,3267.9,0.1,0.1,97502.98111856259,100.0,97402.98111856259
400000,500000,3267.9,3168.0,0.1,0.1,97502.98111856259,99.90000000000009,97403.0811185626
500000,600000,3168.0,3068.1,0.1,0.1,97502.98111856259,99.90000000000009,97403.0811185626
600000,700000,3068.1,2965.8,0.1,0.05,97502.98111856259,102.24999999999973,97400.73111856259
700000,800000,2965.8,2865.9,0.05,0.05,97502.98111856259,99.90000000000009,97403.0811185626
800000,900000,2865.9,2765.9,0.05,0.1,97502.98111856259,100.05,97402.93111856258
900000,1000000,2765.9,2666.0,0.1,0.1,97502.98111856259,99.90000000000009,97403.0811185626
1000000,1100000,2666.0,2566.1,0.1,0.15,97502.98111856259,99.95000000000009,97403.03111856259
1100000,1150000,2566.1,2516.2,0.15,0.15,48751.490559281294,49.90000000000009,48701.59055928129
1150000,1200000,2516.2,2466.2,0.15,0.15,48751.490559281294,50.0,48701.490559281294
1200000,1225000,2466.2,2441.2,0.15,0.15,24375.745279640647,25.0,24350.745279640647
1225000,1250000,2441.2,2416.3,0.15,0.15,24375.745279640647,24.899999999999636,24350.84527964065
1250000,1300000,2416.3,2366.3,0.15,0.15,48751.490559281294,50.0,48701.490559281294
1300000,1325000,2366.3,2341.3,0.15,0.15,24375.745279640647,25.0,24350.745279640647
1325000,1350000,2341.3,2316.3,0.15,0.15,24375.745279640647,25.0,24350.745279640647
1350000,1375000,2316.3,2291.4,0.15,0.15,24375.745279640647,24.90000000000009,24350.845279640645
1375000,1400000,2291.4,2266.4,0.15,0.2,24375.745279640647,25.05,24350.695279640648
1400000,1425000,2266.4,2241.4,0.2,0.2,24375.745279640647,25.0,24350.745279640647
1425000,1450000,2241.4,2216.4,0.2,0.2,24375.745279640647,25.0,24350.745279640647
1450000,1475000,2216.4,2191.5,0.2,0.2,24375.745279640647,24.90000000000009,24350.845279640645
1475000,1500000,2191.5,2166.5,0.2,0.2,24375.745279640647,25.0,24350.745279640647
1500000,1525000,2166.5,2141.5,0.2,0.2,24375.745279640647,25.0,24350.745279640647
1525000,1550000,2141.5,2116.6,0.2,0.25,24375.745279640647,24.95000000000009,24350.795279640646
1550000,1575000,2116.6,2091.6,0.25,0.25,24375.745279640647,25.0,24350.745279640647
1575000,1600000,2091.6,2066.6,0.25,0.25,24375.745279640647,25.0,24350.745279640647
1600000,1625000,2066.6,2041.6,0.25,0.25,24375.745279640647,25.0,24350.745279640647
1625000,1650000,2041.6,2016.7,0.25,0.25,24375.745279640647,24.899999999999864,24350.845279640645
1650000,1675000,2016.7,1991.7,0.25,0.3,24375.745279640647,25.05,24350.695279640648
1675000,1700000,1991.7,1966.8,0.3,0.3,24375.745279640647,24.90000000000009,24350.845279640645
1700000,1725000,1966.8,1941.8,0.3,0.3,24375.745279640647,25.0,24350.745279640647
1725000,1750000,1941.8,1916.8,0.3,0.35,24375.745279640647,25.05,24350.695279640648
1750000,1775000,1916.8,1891.9,0.35,0.35,24375.745279640647,24.899999999999864,24350.845279640645
1775000,1800000,1891.9,1866.9,0.35,0.35,24375.745279640647,25.0,24350.745279640647
1800000,1825000,1866.9,1842.0,0.35,0.4,24375.745279640647,24.95000000000009,24350.795279640646
1825000,1850000,1842.0,1817.0,0.4,0.4,24375.745279640647,25.0,24350.745279640647
1850000,1875000,1817.0,1792.1,0.4,0.45,24375.745279640647,24.95000000000009,24350.795279640646
1875000,1900000,1792.1,1767.1,0.45,0.45,24375.745279640647,25.0,24350.745279640647
1900000,1925000,1767.1,1742.2,0.45,0.5,24375.745279640647,24.949999999999864,24350.795279640646
1925000,1950000,1742.2,1717.2,0.5,0.5,24375.745279640647,25.0,24350.745279640647
1950000,1975000,1717.2,1692.3,0.5,0.55,24375.745279640647,24.95000000000009,24350.795279640646
1975000,2000000,1692.3,1667.3,0.55,0.6,24375.745279640647,25.05,24350.695279640648
2000000,2025000,1667.3,1642.4,0.6,0.6,24375.745279640647,24.899999999999864,24350.845279640645
2025000,2050000,1642.4,1617.4,0.6,0.65,24375.745279640647,25.05,24350.695279640648
2050000,2075000,1617.4,1592.5,0.65,0.7,24375.745279640647,24.95000000000009,24350.795279640646
2075000,2100000,1592.5,1567.6,0.7,0.75,24375.745279640647,24.95000000000009,24350.795279640646
2100000,2125000,1567.6,1542.6,0.75,0.8,24375.745279640647,25.05,24350.695279640648
2125000,2150000,1542.6,1517.7,0.8,0.85,24375.745279640647,24.949999999999864,24350.795279640646
2150000,2175000,1517.7,1492.8,0.85,0.9,24375.745279640647,24.95000000000009,24350.795279640646
2175000,2200000,1492.8,1467.8,0.9,0.95,24375.745279640647,25.05,24350.695279640648
2200000,2225000,1467.8,1442.9,0.95,1.05,24375.745279640647,24.999999999999865,24350.745279640647
2225000,2250000,1442.9,1418.0,1.05,1.1,24375.745279640647,24.95000000000009,24350.795279640646
2250000,2260000,1418.0,1408.0,1.1,1.15,9750.298111856258,10.05,9740.24811185626
2260000,2270000,1408.0,1398.1,1.15,1.15,9750.298111856258,9.900000000000091,9740.398111856259
2270000,2275000,1398.1,1393.1,1.15,1.15,4875.149055928129,5.0,4870.149055928129
2275000,2280000,1393.1,1388.1,1.15,1.15,4875.149055928129,5.0,4870.149055928129
2280000,2290000,1388.1,1378.1,1.15,1.2,9750.298111856258,10.05,9740.24811185626
2290000,2300000,1378.1,1368.2,1.2,1.25,9750.298111856258,9.949999999999864,9740.348111856258
2300000,2310000,1368.2,1358.2,1.25,1.25,9750.298111856258,10.0,9740.298111856258
2310000,2320000,1358.2,1348.3,1.25,1.3,9750.298111856258,9.950000000000092,9740.348111856258
2320000,2325000,1348.3,1343.3,1.3,1.3,4875.149055928129,5.0,4870.149055928129
2325000,2330000,1343.3,1338.3,1.3,1.3,4875.149055928129,5.0,4870.149055928129
2330000,2340000,1338.3,1328.3,1.3,1.35,9750.298111856258,10.05,9740.24811185626
2340000,2350000,1328.3,1318.4,1.35,1.4,9750.298111856258,9.949999999999864,9740.348111856258
2350000,2360000,1318.4,1308.4,1.4,1.4,9750.298111856258,10.0,9740.298111856258
2360000,2370000,1308.4,1298.5,1.4,1.45,9750.298111856258,9.950000000000092,9740.348111856258
2370000,2375000,1298.5,1293.5,1.45,1.45,4875.149055928129,5.0,4870.149055928129
2375000,2380000,1293.5,1288.5,1.45,1.5,4875.149055928129,5.05,4870.099055928129
2380000,2390000,1288.5,1278.5,1.5,1.5,9750.298111856258,10.0,9740.298111856258
2390000,2400000,1278.5,1268.6,1.5,1.55,9750.298111856258,9.950000000000092,9740.348111856258
2400000,2410000,1268.6,1258.6,1.55,1.6,9750.298111856258,10.05,9740.24811185626
2410000,2420000,1258.6,1248.7,1.6,1.65,9750.298111856258,9.949999999999864,9740.348111856258
2420000,2425000,1248.7,1243.7,1.65,1.65,4875.149055928129,5.0,4870.149055928129
2425000,2430000,1243.7,1238.7,1.65,1.65,4875.149055928129,5.0,4870.149055928129
2430000,2440000,1238.7,1228.8,1.65,1.7,9750.298111856258,9.950000000000092,9740.348111856258
2440000,2450000,1228.8,1218.8,1.7,1.75,9750.298111856258,10.05,9740.24811185626
2450000,2460000,1218.8,1208.9,1.75,1.8,9750.298111856258,9.949999999999864,9740.348111856258
2460000,2470000,1208.9,1198.9,1.8,1.85,9750.298111856258,10.05,9740.24811185626
2470000,2475000,1198.9,1194.0,1.85,1.85,4875.149055928129,4.900000000000091,4870.249055928129
2475000,2480000,1194.0,1189.0,1.85,1.9,4875.149055928129,5.05,4870.099055928129
2480000,2490000,1189.0,1179.1,1.9,1.95,9750.298111856258,9.950000000000092,9740.348111856258
2490000,2500000,1179.1,1169.1,1.95,2.0,9750.298111856258,10.05,9740.24811185626
